                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2401,                0.69666,                 1.1723,                 1.3463,                 0.7189,                 1.1553,                0.90797,                0.86914,                0.93695,                  0.592,                 1.2136,                0.68128,                 1.1686,                 1.2922,                0.67725,                 1.1465,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2597,                0.70014,                 1.1772,                  1.365,                0.71668,                 1.1486,                0.90043,                0.86125,                0.92913,                0.57483,                 1.3119,                0.64275,                 1.2103,                  1.392,                0.62235,                 1.1746,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.248,                0.70608,                 1.1607,                 1.3518,                0.72238,                 1.1381,                0.89011,                0.88095,                0.91949,                0.52928,                 1.4149,                0.69957,                  1.295,                 1.4801,                 0.6966,                 1.2343,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2147,                0.69561,                 1.1636,                 1.3179,                0.70919,                  1.142,                 0.9138,                0.89762,                0.94544,                0.61023,                 1.1982,                0.62431,                 1.1725,                 1.2365,                0.59289,                 1.1133,               0.001505,               0.001505,               0.001505
                     28,                 1.2119,                0.68624,                 1.1565,                 1.3177,                0.71289,                 1.1217,                0.85553,                0.86905,                0.90645,                0.51936,                 1.3907,                0.68637,                 1.3085,                 1.4429,                0.74358,                 1.2188,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1869,                0.67597,                  1.149,                 1.2889,                0.69603,                 1.1218,                0.91957,                0.87111,                0.93385,                0.60169,                 1.1893,                0.63895,                 1.1511,                 1.2395,                0.59742,                 1.1157,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2008,                0.68953,                 1.1482,                 1.3168,                0.70189,                  1.126,                0.88606,                0.89286,                0.91325,                0.58253,                 1.2346,                0.66945,                 1.1927,                 1.3126,                0.64349,                 1.1457,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1864,                0.67053,                 1.1511,                 1.2965,                0.67306,                 1.1208,                0.93328,                0.89927,                0.94759,                0.62016,                 1.1648,                0.59818,                 1.1606,                 1.2293,                0.56096,                 1.1083,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1677,                 0.6567,                 1.1463,                  1.278,                0.68953,                 1.1216,                0.92602,                0.89406,                 0.9448,                 0.6064,                 1.1804,                0.60747,                 1.1719,                 1.2225,                0.57408,                 1.1283,               0.001406,               0.001406,               0.001406
                     33,                 1.1769,                0.66529,                 1.1403,                 1.2899,                0.68684,                 1.1098,                0.90304,                0.88699,                0.93738,                0.61235,                 1.1746,                0.59596,                 1.1849,                 1.2176,                0.59967,                 1.1187,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1392,                0.63328,                 1.1197,                 1.2446,                0.64205,                 1.0958,                0.90312,                0.88786,                0.93288,                0.58968,                 1.2081,                0.62055,                 1.2032,                 1.2679,                0.58899,                 1.1685,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1478,                0.64783,                 1.1342,                 1.2572,                0.65462,                 1.1021,                0.91536,                0.87548,                0.94221,                0.60361,                 1.1869,                0.61266,                 1.1826,                 1.2346,                0.59677,                 1.1427,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1204,                0.63108,                 1.1233,                 1.2289,                0.62905,                 1.0976,                0.91151,                    0.9,                0.94162,                0.61127,                   1.15,                0.58946,                 1.1687,                 1.1902,                0.54506,                 1.1174,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1407,                0.63178,                 1.1301,                 1.2414,                0.63895,                 1.1065,                0.90324,                 0.9119,                0.94717,                0.63276,                 1.1211,                0.59881,                 1.1391,                 1.1877,                0.52753,                 1.0985,               0.001307,               0.001307,               0.001307
                     38,                 1.1309,                0.62731,                 1.1275,                 1.2253,                0.62898,                 1.0929,                0.90861,                0.90952,                0.93592,                0.60662,                 1.1868,                0.59497,                 1.2089,                  1.245,                0.53841,                 1.1591,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1331,                0.62059,                 1.1244,                 1.2264,                0.61684,                 1.0908,                0.91692,                0.91974,                0.94865,                0.63506,                 1.1196,                 0.5588,                 1.1337,                 1.1645,                0.52873,                 1.0701,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1094,                0.62209,                 1.1088,                  1.218,                0.61886,                 1.0864,                 0.8994,                0.92619,                0.95936,                0.62947,                 1.1403,                 0.5708,                 1.1425,                  1.208,                0.51276,                 1.1138,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1025,                0.60874,                 1.1078,                 1.1982,                0.60207,                 1.0848,                0.91962,                0.89286,                0.94644,                0.61728,                 1.1653,                0.56463,                   1.16,                 1.2309,                0.54999,                 1.1173,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1081,                0.61389,                 1.1069,                  1.218,                0.61052,                 1.0936,                0.90076,                0.91667,                0.95069,                0.62692,                 1.1305,                0.56645,                 1.1538,                 1.1974,                0.55552,                 1.1235,               0.001208,               0.001208,               0.001208
                     43,                 1.0958,                0.59632,                 1.1022,                 1.1771,                 0.5881,                 1.0823,                0.91315,                0.92619,                0.95458,                0.64174,                 1.1278,                0.53917,                 1.1594,                 1.1521,                0.49601,                 1.1118,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0824,                0.60049,                 1.1109,                 1.1733,                  0.592,                 1.0873,                0.93191,                0.90714,                0.95949,                0.64406,                  1.108,                0.56002,                 1.1257,                  1.145,                0.47847,                  1.098,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0787,                0.59242,                 1.0859,                  1.177,                0.56878,                 1.0699,                 0.9512,                0.88187,                 0.9633,                0.65854,                 1.0968,                0.54126,                 1.1152,                 1.1134,                0.48355,                  1.077,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0715,                0.58692,                 1.0928,                 1.1611,                0.58771,                 1.0819,                0.95001,                    0.9,                0.96368,                0.66421,                 1.0572,                0.53114,                 1.1151,                 1.1089,                0.46309,                 1.0871,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0492,                0.59336,                 1.0867,                 1.1537,                0.61185,                 1.0673,                0.90088,                0.93095,                0.95686,                0.63726,                 1.0917,                0.56382,                 1.1431,                 1.1459,                0.51075,                 1.1091,               0.001109,               0.001109,               0.001109
                     48,                 1.0647,                0.59117,                 1.0996,                 1.1586,                0.59174,                 1.0845,                0.92457,                0.90471,                0.95158,                0.66137,                 1.0438,                 0.5393,                 1.1176,                 1.0831,                0.49363,                 1.0905,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0344,                0.56587,                 1.0893,                 1.1299,                0.56571,                 1.0741,                0.94342,                0.91311,                0.95946,                0.65455,                 1.0968,                0.52345,                 1.1581,                  1.139,                0.44928,                 1.1253,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.039,                0.56786,                 1.0875,                  1.135,                0.55561,                 1.0771,                0.93519,                0.92381,                0.96594,                0.64865,                 1.0788,                0.52721,                 1.1396,                 1.1317,                0.45339,                 1.1108,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0331,                0.56994,                 1.0737,                   1.13,                0.57342,                 1.0657,                0.92724,                 0.8881,                0.95884,                0.65117,                 1.0909,                0.52648,                 1.1454,                 1.1332,                0.50336,                 1.1113,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0207,                0.57684,                 1.0754,                 1.1171,                0.56922,                 1.0572,                0.95474,                0.90238,                 0.9633,                0.67299,                 1.0439,                0.51356,                 1.1217,                  1.087,                0.44012,                 1.0879,                0.00101,                0.00101,                0.00101
